"Time" "MP" "MC" "MB" "PTot" "CTot" "BTot"
"1" 0 0 0 8.51933195244103 5.8956730537991 1.91814975173723 2.16935148168281
"2" 1 0.49455726567099 0.449527692010694 8.28915274406452 3.97952789768416 1.72266711378871 2.02962493914391
"3" 3 0.797317042020558 0.873688347917678 8.58838993345269 2.37660185148901 2.05924876582821 2.46433943217375
"4" 5 1.47005187312651 1.34322539861934 8.18792719514351 2.14637613458078 3.18080719615471 3.05497207533659
"5" 6 2.11813795990523 1.67716477846757 8.03746620001895 2.26948738301885 3.77653226058058 3.50732058137529
"6" 9 3.08875277286722 2.19968171013362 7.68425959028086 4.49776218171365 6.24738591197571 3.63940596856112
"7" 12 4.23625423808 2.55508680802688 8.1479162627468 6.91807531275412 8.86134900479318 2.79454674556145
"8" 15 2.23136982223461 1.3241751842325 7.52687912042686 7.76559231274004 8.74067820348472 2.01573232267527
"9" 24 0.43769730390488 0.510703806015151 8.79695425673351 0.815636112681169 2.11288425023634 2.81461102765872
"10" 30 3.04547256536895 2.13444743142407 8.38143457816754 3.77102507515896 6.60318802245042 4.4884387382463
"11" 36 3.44033061198413 2.23452550282089 7.67762568328356 9.99950370278312 9.18916411723758 2.2214337513563
"12" 42 0.00457654245381411 0.00837437592059574 9.2725431876817 6.46004261550208 3.4287891318196 1.79951960109646
"13" 46 0.0717114870971765 0.123719666451231 8.82177468573759 1.89557679291055 1.55107426237625 2.36003472087819
