"Time" "V"
"1" 0 0
"2" 0.2 112587.028261482
"3" 0.5 147951.035866901
"4" 1 156360.391432262
"5" 1.5 173208.141724336
"6" 2 151121.840023292
"7" 2.5 163700.2196548
"8" 3.5 148441.777551539
"9" 4 139021.529800783
"10" 5 123959.828202541
"11" 7 109592.60484913
"12" 10 91846.6232513248
